step,ref_x,ref_z,real_x,real_z,cart_err,q1_err,q2_err,q3_err
0,200.0,200.0,199.99988079840153,200.00011920159847,0.00016857651720671534,0.0002,-0.0,0.0
1,199.60573506572388,206.2666616782152,199.6056905050136,206.26670623892548,6.301836082558111e-05,0.00019842294026289558,-5.0133293425721704e-05,3.7599970069291277e-05
2,198.42915805643156,212.43449435824274,198.4291888393585,212.43446357531582,4.353363275039091e-05,0.00019371663222572623,-9.947595486594192e-05,7.460696614945643e-05
3,196.48882429441258,218.4062276342339,196.48892993551158,218.4061219931349,0.00014939907494621596,0.0001859552971776503,-0.00014724982107387118,0.00011043736580540337
4,193.8153340021932,224.08768370508577,193.815512835441,224.08750487183795,0.0002529084044641156,0.00017526133600877271,-0.00019270146964068613,0.00014452610223051457
5,190.45084971874738,229.38926261462365,190.4510989238369,229.38901340953413,0.00035242921740747063,0.0001618033988749895,-0.00023511410091698926,0.00017633557568774193
6,186.44843137107057,234.22735529643444,186.44874701788862,234.2270396496164,0.00044639201100915473,0.00014579372548428231,-0.00027381884237147547,0.00020536413177860656
7,181.8711994874345,238.52566213878947,181.87157659804222,238.52528502818174,0.0005333149359658073,0.00012748479794973794,-0.0003082052971103157,0.00023115397283273676
8,176.79133974894984,242.21639627510075,176.7917723760877,242.2159636479629,0.000611827165804523,0.00010716535899579931,-0.00033773117020080605,0.00025329837765060453
9,171.28896457825363,245.24135262330097,171.28944589913317,245.24087130242143,0.0006806905157044723,8.515585831301454e-05,-0.00036193082098640787,0.00027144811573980585
10,165.45084971874738,247.55282581475768,165.45137214265085,247.5523033908542,0.0007388189696036665,6.180339887498949e-05,-0.0003804226065180614,0.00028531695488854603
11,159.36906572928623,249.11436253643444,159.3696210172766,249.1138072484441,0.000785295806978517,3.747626291714495e-05,-0.00039291490029147544,0.00029468617521860656
12,153.13952597646568,249.9013364214136,153.14010537131958,249.9007570265597,0.0008193880603556812,1.2558103905862707e-05,-0.00039921069137130867,0.00029940801852848146
13,146.86047402353432,249.9013364214136,146.8610683878488,249.9007420570991,0.0008405580745286905,-1.2558103905862681e-05,-0.00039921069137130867,0.00029940801852848146
14,140.63093427071377,249.11436253643444,140.63153423100854,249.11376257613966,0.0008484719857606294,-3.747626291714492e-05,-0.0003929149002914755,0.0002946861752186066
15,134.54915028125265,247.55282581475768,134.54974637579548,247.55222972021485,0.0008430049869246485,-6.180339887498943e-05,-0.00038042260651806147,0.0002853169548885461
16,128.71103542174637,245.24135262330097,128.71161824977023,245.24076979527712,0.0008242432958623099,-8.515585831301454e-05,-0.0003619308209864078,0.0002714481157398058
17,123.20866025105016,242.21639627510075,123.20922062100894,242.21583590514197,0.0007924827956483463,-0.00010716535899579938,-0.000337731170200806,0.0002532983776506045
18,118.1288005125655,238.52566213878947,118.12932958709021,238.52513306426476,0.0007482243683462149,-0.00012748479794973794,-0.0003082052971103157,0.00023115397283273676
19,113.55156862892943,234.22735529643444,113.55205806419875,234.22686586116512,0.0006921659957699395,-0.00014579372548428226,-0.0002738188423714755,0.00020536413177860664
20,109.54915028125264,229.38926261462365,109.54959235857999,229.38882053729628,0.0006251917519653139,-0.00016180339887498948,-0.0002351141009169893,0.00017633557568774196
21,106.18466599780682,224.08768370508577,106.18505374536868,224.0872959575239,0.0005483578607587231,-0.00017526133600877271,-0.0001927014696406861,0.00014452610223051455
22,103.51117570558743,218.40622763423391,103.51150300837313,218.40590033144824,0.00046287603851813,-0.0001859552971776503,-0.00014724982107387126,0.00011043736580540344
23,101.57084194356845,212.43449435824277,101.57110363981751,212.43423266199372,0.00037009438463563694,-0.0001937166322257262,-9.94759548659421e-05,7.460696614945656e-05
24,100.39426493427611,206.26666167821523,100.39445689688236,206.26646971560896,0.00027147612123961827,-0.00019842294026289556,-5.013329342572182e-05,3.759997006929136e-05
25,100.0,200.0,100.00011920159848,199.99988079840153,0.00016857651721676395,-0.0002,-4.898587196589413e-20,3.673940397442059e-20
26,100.39426493427611,193.7333383217848,100.39430949498639,193.73329376107452,6.301836082558111e-05,-0.00019842294026289558,5.013329342572172e-05,-3.759997006929128e-05
27,101.57084194356844,187.56550564175728,101.57081116064151,187.5655364246842,4.353363275039091e-05,-0.00019371663222572625,9.947595486594183e-05,-7.460696614945636e-05
28,103.51117570558742,181.5937723657661,103.51107006448842,181.5938780068651,0.00014939907494621596,-0.0001859552971776503,0.00014724982107387118,-0.00011043736580540337
29,106.18466599780682,175.91231629491423,106.18448716455899,175.91249512816205,0.0002529084044741642,-0.00017526133600877271,0.00019270146964068616,-0.0001445261022305146
30,109.54915028125261,170.61073738537635,109.5489010761631,170.61098659046587,0.0003524292173974221,-0.00016180339887498957,0.0002351141009169891,-0.0001763355756877418
31,113.5515686289294,165.7726447035656,113.55125298211135,165.77296035038364,0.00044639201100915473,-0.0001457937254842824,0.00027381884237147536,-0.0002053641317786065
32,118.12880051256552,161.47433786121053,118.12842340195779,161.47471497181826,0.0005333149359658073,-0.00012748479794973792,0.00030820529711031577,-0.00023115397283273679
33,123.20866025105019,157.78360372489925,123.20822762391235,157.7840363520371,0.0006118271657944744,-0.00010716535899579927,0.0003377311702008061,-0.0002532983776506046
34,128.7110354217464,154.758647376699,128.71055410086686,154.75912869757855,0.0006806905157044723,-8.515585831301443e-05,0.0003619308209864079,-0.0002714481157398059
35,134.54915028125262,152.44717418524232,134.54862785734915,152.4476966091458,0.0007388189696036665,-6.180339887498952e-05,0.0003804226065180614,-0.00028531695488854603
36,140.63093427071377,150.88563746356556,140.6303789827234,150.8861927515559,0.000785295806978517,-3.747626291714493e-05,0.0003929149002914755,-0.0002946861752186066
37,146.86047402353435,150.0986635785864,146.85989462868045,150.0992429734403,0.0008193880603556812,-1.2558103905862642e-05,0.00039921069137130867,-0.00029940801852848146
38,153.13952597646565,150.0986635785864,153.13893161215117,150.0992579429009,0.0008405580745286905,1.2558103905862568e-05,0.00039921069137130867,-0.00029940801852848146
39,159.3690657292862,150.88563746356556,159.36846576899143,150.88623742386034,0.0008484719857606294,3.7476262917144854e-05,0.0003929149002914755,-0.0002946861752186066
40,165.45084971874735,152.44717418524232,165.45025362420452,152.44777027978515,0.0008430049869246485,6.180339887498945e-05,0.00038042260651806147,-0.0002853169548885461
41,171.2889645782536,154.758647376699,171.28838175022975,154.75923020472285,0.0008242432958623099,8.515585831301437e-05,0.000361930820986408,-0.00027144811573980596
42,176.79133974894984,157.78360372489925,176.79077937899106,157.78416409485803,0.0007924827956483463,0.00010716535899579936,0.000337731170200806,-0.0002532983776506045
43,181.87119948743447,161.47433786121053,181.87067041290976,161.47486693573524,0.0007482243683462149,0.00012748479794973786,0.0003082052971103158,-0.00023115397283273687
44,186.44843137107057,165.77264470356556,186.44794193580125,165.77313413883488,0.0006921659957699395,0.00014579372548428226,0.0002738188423714756,-0.00020536413177860667
45,190.45084971874735,170.61073738537632,190.45040764142,170.6111794627037,0.0006251917519753624,0.00016180339887498948,0.00023511410091698936,-0.00017633557568774198
46,193.81533400219314,175.9123162949142,193.81494625463128,175.91270404247607,0.0005483578607587231,0.00017526133600877263,0.00019270146964068646,-0.00014452610223051482
47,196.48882429441258,181.5937723657661,196.4884969916269,181.5940996685518,0.0004628760385080814,0.0001859552971776503,0.00014724982107387115,-0.00011043736580540334
48,198.42915805643156,187.56550564175723,198.4288963601825,187.56576733800628,0.00037009438463563694,0.0001937166322257262,9.947595486594214e-05,-7.46069661494566e-05
49,199.60573506572388,193.73333832178477,199.6055431031176,193.73353028439104,0.0002714761212496668,0.00019842294026289556,5.013329342572186e-05,-3.759997006929139e-05
